parking,rooms,info_card_type,bathrooms,balcony,title,floor,terrace,link,price,elevator,surface,heating,swimming_pool,air_conditioner
,3 habs.,re-CardPackPremium-info,2 baños,,Casa adosada en venta en Barri del Mar,,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-parking-jardin-patio-piscina-no-amueblado/176649349/d?from=list,299.000 €,,129 m²,Calefacción,Piscina,Aire acondicionado
,2 habs.,re-CardPackPremium-info,1 baño,,"Piso en venta en Carrer de la Boia, Barri del Mar",,,/es/comprar/vivienda/vilanova-i-la-geltru/barri-del-mar/176374930/d?from=list,240.000 €,,58 m²,,,
,2 habs.,re-CardPackPremium-info,1 baño,,"Planta baja en venta en Carrer de Pere Jacas, Barri del Mar",Bajos,,/es/comprar/vivienda/vilanova-i-la-geltru/barri-del-mar/176083725/d?from=list,251.000 €,,54 m²,,,
,2 habs.,re-CardPackPremium-info,2 baños,,"Piso en venta en Carrer de la Boia, Barri del Mar",4ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/ascensor/176374086/d?from=list,261.000 €,Ascensor,59 m²,,,
,3 habs.,re-CardPackPremium-info,2 baños,,"Piso en venta en Rambla de L'exposició, La Geltrú - Sant Jordi",4ª Planta,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-terraza-ascensor/165724739/d?from=list,349.000 €,Ascensor,101 m²,Calefacción,,
Parking,4 habs.,re-CardPackPremium-info,2 baños,Balcón,"Piso en venta en Carrer de Roger de Llúria, Ribes Roges",1ª Planta,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/terraza-zona-comunitaria-parking-piscina/177568981/d?from=list,265.000 €,,110 m²,,,
,4 habs.,re-CardPackPremium-info,2 baños,Balcón,"Piso en venta en Rambla de Josep Antoni Vidal, Centre Vila",3ª Planta,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-ascensor/177155781/d?from=list,390.000 €,Ascensor,117 m²,,,
,4 habs.,re-CardPackPremium-info,2 baños,,"Casa o chalet en venta en Carrer Meridional, Barri del Mar",Bajos,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/terraza-patio/177287371/d?from=list,237.800 €,,120 m²,,,
,3 habs.,re-CardPackPremium-info,2 baños,Balcón,"Piso en venta en Maritim, Barri del Mar",2ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-trastero-ascensor-piscina/177518047/d?from=list,495.000 €,Ascensor,97 m²,Calefacción,,
,2 habs.,re-CardPackPremium-info,2 baños,Balcón,"Planta baja en venta en Rei Pere el Cerimonios, Ribes Roges",,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-jardin-terraza-trastero-ascensor-piscina/177539673/d?from=list,480.000 €,Ascensor,80 m²,Calefacción,,
,2 habs.,re-CardPackPremium-info,2 baños,,Planta baja en venta en Ribes Roges,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-terraza-trastero-ascensor-piscina/177536300/d?from=list,480.000 €,Ascensor,80 m²,Calefacción,Piscina,
,3 habs.,re-CardPackPremium-info,2 baños,,Piso en venta en Centre Vila,,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-ascensor/163383553/d?from=list,325.000 €,Ascensor,108 m²,Calefacción,,Aire acondicionado
,2 habs.,re-CardPackPremium-info,2 baños,,"Planta baja en venta en Carrer de la Boia, Barri del Mar",,,/es/comprar/vivienda/vilanova-i-la-geltru/barri-del-mar/176374964/d?from=list,268.000 €,,68 m²,,,
,3 habs.,re-CardPackPremium-info,1 baño,Balcón,"Piso en venta en Avinguda de Francesc Macià, Molí de Vent",7ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/ascensor/176979199/d?from=list,180.000 €,Ascensor,70 m²,,,
,3 habs.,re-CardPackPremium-info,3 baños,Balcón,Casa adosada en venta en Fondo Somella,,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-jardin-patio-piscina/158587234/d?from=list,330.000 €,,90 m²,Calefacción,Piscina,Aire acondicionado
,2 habs.,re-CardPackPremium-info,1 baño,,Casa o chalet en venta en Nord,,,/es/comprar/vivienda/vilanova-i-la-geltru/jardin/176492617/d?from=list,128.000 €,,95 m²,,,
,3 habs.,re-CardPackPremium-info,3 baños,Balcón,Casa adosada en venta en Fondo Somella,,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-jardin-patio-piscina/158587238/d?from=list,320.000 €,,100 m²,Calefacción,Piscina,Aire acondicionado
,4 habs.,re-CardPackPremium-info,2 baños,,Casa o chalet en venta en Nord,,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/calefaccion-parking-terraza/164830938/d?from=list,198.000 €,,114 m²,Calefacción,,
,2 habs.,re-CardPackPremium-info,1 baño,Balcón,"Piso en venta en Avinguda de Francesc Macià, Sant Joan",3ª Planta,,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-ascensor-internet/177402976/d?from=list,210.000 €,Ascensor,83 m²,Calefacción,,
,2 habs.,re-CardPackPremium-info,1 baño,,"Ático en venta en Passeig Marítim, 92, Barri del Mar",10ª Planta,Terraza,/es/comprar/vivienda/vilanova-i-la-geltru/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-no-amueblado/176953858/d?from=list,365.000 €,Ascensor,85 m²,Calefacción,,
