bathrooms,elevator,rooms,link,parking,balcony,air_conditioner,swimming_pool,price,heating,info_card_type,terrace,title,surface,floor
2 baños,,4 habs.,Casa o chalet en venta en L'Eliana,,,Aire acondicionado,Piscina,685.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en L'Eliana,355 m²,
3 baños,,5 habs.,Casa o chalet en venta en L'Eliana,,Balcón,,Piscina,595.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en L'Eliana,340 m²,
3 baños,Ascensor,4 habs.,Ático en venta en Carcaixent,,,,,165.000 €,Calefacción,re-CardPackPremium-info,Terraza,Ático en venta en Carcaixent,195 m²,3ª Planta
1 baño,Ascensor,2 habs.,Piso en venta en Terrassa,,Balcón,,,175.000 €,Calefacción,re-CardPackPremium-info,,Piso en venta en Terrassa,80 m²,
4 baños,,4 habs.,"Casa o chalet en venta en Avinguda del Turó, 25, Sant Andreu de Llavaneres",,Balcón,,Piscina,650.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Casa o chalet en venta en Avinguda del Turó, 25, Sant Andreu de Llavaneres",406 m²,
3 baños,,4 habs.,Casa adosada en venta en El Masnou,,Balcón,Aire acondicionado,,635.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa adosada en venta en El Masnou,227 m²,
2 baños,,3 habs.,Casa adosada en venta en Vilanova i la Geltrú,,,Aire acondicionado,Piscina,299.000 €,Calefacción,re-CardPackPremium-info,,Casa adosada en venta en Vilanova i la Geltrú,129 m²,
2 baños,Ascensor,3 habs.,"Piso en venta en Plaza Dulce Maria Loinaz, Beasain",,Balcón,,Piscina,550.000 €,,re-CardPackPremium-info,,"Piso en venta en Plaza Dulce Maria Loinaz, Beasain",104 m²,3ª Planta
3 baños,,4 habs.,Casa o chalet en venta en Dénia,,Balcón,,Piscina,499.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en Dénia,245 m²,
2 baños,,4 habs.,"Piso en venta en Calle de Los Jardines, 22, Cartagena",,,Aire acondicionado,,189.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Piso en venta en Calle de Los Jardines, 22, Cartagena",236 m²,1ª Planta
2 baños,,4 habs.,"Casa adosada en venta en Calle Castillo de Santa Bárbara, Cartagena",,,,,208.000 €,,re-CardPackPremium-info,Terraza,"Casa adosada en venta en Calle Castillo de Santa Bárbara, Cartagena",118 m²,
2 baños,Ascensor,4 habs.,"Ático en venta en Calle de San Juan Bosco,  Almería Capital",,,Aire acondicionado,,193.000 €,Calefacción,re-CardPackPremium-info,Terraza,"Ático en venta en Calle de San Juan Bosco,  Almería Capital",95 m²,
1 baño,,1 hab.,"Piso en venta en Avenida Costa de Madrid, San Martín de Valdeiglesias",,Balcón,Aire acondicionado,,49.900 €,,re-CardPackPremium-info,Terraza,"Piso en venta en Avenida Costa de Madrid, San Martín de Valdeiglesias",50 m²,
2 baños,Ascensor,3 habs.,"Piso en venta en Calle Los Claveles, Oviedo",Parking,,,,135.000 €,Calefacción,re-CardPackPremium-info,,"Piso en venta en Calle Los Claveles, Oviedo",83 m²,3ª Planta
2 baños,Ascensor,3 habs.,Ático en venta en  Barcelona Capital,,Balcón,,,795.000 €,,re-CardPackPremium-info,Terraza,Ático en venta en  Barcelona Capital,130 m²,5ª Planta
3 baños,Ascensor,3 habs.,Ático en venta en Benicarló,,Balcón,,,190.000 €,,re-CardPackPremium-info,Terraza,Ático en venta en Benicarló,121 m²,4ª Planta
2 baños,,2 habs.,"Casa adosada en venta en Carrer del Senglar, Vilajuïga",,Balcón,,,160.000 €,,re-CardPackPremium-info,Terraza,"Casa adosada en venta en Carrer del Senglar, Vilajuïga",56 m²,
2 baños,Ascensor,3 habs.,Piso en venta en El Escorial,,Balcón,,Piscina,260.000 €,,re-CardPackPremium-info,Terraza,Piso en venta en El Escorial,120 m²,
7 baños,,6 habs.,Casa o chalet en venta en Boadilla del Monte,,Balcón,,Piscina,1.250.000 €,Calefacción,re-CardPackPremium-info,Terraza,Casa o chalet en venta en Boadilla del Monte,495 m²,
2 baños,Ascensor,2 habs.,Piso en venta en Gavà,Parking,,,Piscina,682.000 €,,re-CardPackPremium-info,Terraza,Piso en venta en Gavà,211 m²,
2 baños,,2 habs.,Apartamento en venta en Baiona,,,Aire acondicionado,,299.990 €,Calefacción,re-CardPackPremium-info,Terraza,Apartamento en venta en Baiona,70 m²,
2 baños,,4 habs.,Casa o chalet en venta en Taboadela,,,,,120.000 €,,re-CardPackPremium-info,,Casa o chalet en venta en Taboadela,191 m²,
